"A company role name is required.","A company role name is required."
"The company role name must not exceed 255 characters.","The company role name must not exceed 255 characters."
"A company role with this name already exists in this company.","A company role with this name already exists in this company."
"A company is required for a company role.","A company is required for a company role."
"At least one of the given permissions does not exist.","At least one of the given permissions does not exist."
"The company role was not found.","The company role was not found."
"The company of an existing company role cannot be changed.","The company of an existing company role cannot be changed."
"The default flag cannot be cleared. Make another company role the default instead.","The default flag cannot be cleared. Make another company role the default instead."
"The default company role cannot be deleted.","The default company role cannot be deleted."
"company.company_role.delete.error.has_users","You can not delete a role while it contains users"
